STATE,DISTRICT,YEAR,FLOOD
108,108001,2000,0
108,108001,2001,1
108,108001,2002,1
108,108001,2003,1
108,108001,2004,1
108,108001,2005,1
108,108001,2006,1
108,108001,2007,0
108,108001,2008,1
108,108001,2009,1
108,108001,2010,1
108,108002,2000,0
108,108002,2001,0
108,108002,2002,1
108,108002,2003,1
108,108002,2004,1
108,108002,2005,0
108,108002,2006,1
108,108002,2007,0
108,108002,2008,0
108,108002,2009,0
108,108002,2010,1
108,108003,2000,0
108,108003,2001,0
108,108003,2002,1
108,108003,2003,1
108,108003,2004,1
108,108003,2005,0
108,108003,2006,1
108,108003,2007,1
108,108003,2008,1
108,108003,2009,0
108,108003,2010,1
108,108004,2000,0
108,108004,2001,0
108,108004,2002,0
108,108004,2003,0
108,108004,2004,0
108,108004,2005,1
108,108004,2006,0
108,108004,2007,0
108,108004,2008,1
108,108004,2009,0
108,108004,2010,0
108,108005,2000,0
108,108005,2001,0
108,108005,2002,0
108,108005,2003,0
108,108005,2004,1
108,108005,2005,0
108,108005,2006,1
108,108005,2007,1
108,108005,2008,0
108,108005,2009,0
108,108005,2010,0
108,108006,2000,0
108,108006,2001,1
108,108006,2002,1
108,108006,2003,1
108,108006,2004,1
108,108006,2005,1
108,108006,2006,1
108,108006,2007,1
108,108006,2008,1
108,108006,2009,1
108,108006,2010,1
109,109001,2000,0
109,109001,2001,0
109,109001,2002,0
109,109001,2003,0
109,109001,2004,0
109,109001,2005,1
109,109001,2006,1
109,109001,2007,0
109,109001,2008,0
109,109001,2009,1
109,109001,2010,1
102,102001,2000,0
102,102001,2001,0
102,102001,2002,1
102,102001,2003,1
102,102001,2004,0
102,102001,2005,1
102,102001,2006,1
102,102001,2007,1
102,102001,2008,1
102,102001,2009,1
102,102001,2010,1
102,102002,2000,0
102,102002,2001,0
102,102002,2002,0
102,102002,2003,1
102,102002,2004,0
102,102002,2005,0
102,102002,2006,0
102,102002,2007,1
102,102002,2008,1
102,102002,2009,1
102,102002,2010,0
102,102003,2000,0
102,102003,2001,0
102,102003,2002,1
102,102003,2003,1
102,102003,2004,0
102,102003,2005,0
102,102003,2006,0
102,102003,2007,1
102,102003,2008,1
102,102003,2009,0
102,102003,2010,1
102,102004,2000,0
102,102004,2001,0
102,102004,2002,1
102,102004,2003,1
102,102004,2004,0
102,102004,2005,1
102,102004,2006,1
102,102004,2007,1
102,102004,2008,1
102,102004,2009,1
102,102004,2010,1
102,102005,2000,0
102,102005,2001,0
102,102005,2002,0
102,102005,2003,1
102,102005,2004,0
102,102005,2005,1
102,102005,2006,0
102,102005,2007,1
102,102005,2008,0
102,102005,2009,1
102,102005,2010,0
106,107001,2000,0
106,107001,2001,1
106,107001,2002,1
106,107001,2003,1
106,107001,2004,1
106,107001,2005,1
106,107001,2006,0
106,107001,2007,1
106,107001,2008,1
106,107001,2009,1
106,107001,2010,1
106,107002,2000,0
106,107002,2001,1
106,107002,2002,1
106,107002,2003,1
106,107002,2004,1
106,107002,2005,1
106,107002,2006,0
106,107002,2007,1
106,107002,2008,1
106,107002,2009,1
106,107002,2010,1
106,107003,2000,0
106,107003,2001,1
106,107003,2002,1
106,107003,2003,1
106,107003,2004,1
106,107003,2005,1
106,107003,2006,0
106,107003,2007,1
106,107003,2008,1
106,107003,2009,1
106,107003,2010,1
109,109001,2000,0
109,109001,2001,1
109,109001,2002,1
109,109001,2003,1
109,109001,2004,1
109,109001,2005,1
109,109001,2006,1
109,109001,2007,1
109,109001,2008,1
109,109001,2009,1
109,109001,2010,1
109,109002,2000,0
109,109002,2001,0
109,109002,2002,0
109,109002,2003,0
109,109002,2004,0
109,109002,2005,0
109,109002,2006,0
109,109002,2007,0
109,109002,2008,0
109,109002,2009,0
109,109002,2010,0
109,109003,2000,0
109,109003,2001,1
109,109003,2002,1
109,109003,2003,1
109,109003,2004,1
109,109003,2005,1
109,109003,2006,1
109,109003,2007,1
109,109003,2008,1
109,109003,2009,1
109,109003,2010,1
109,109004,2000,0
109,109004,2001,1
109,109004,2002,1
109,109004,2003,1
109,109004,2004,1
109,109004,2005,1
109,109004,2006,1
109,109004,2007,1
109,109004,2008,1
109,109004,2009,1
109,109004,2010,1
109,109005,2000,0
109,109005,2001,1
109,109005,2002,1
109,109005,2003,1
109,109005,2004,1
109,109005,2005,1
109,109005,2006,1
109,109005,2007,1
109,109005,2008,1
109,109005,2009,1
109,109005,2010,1
109,109006,2000,0
109,109006,2001,0
109,109006,2002,0
109,109006,2003,0
109,109006,2004,0
109,109006,2005,0
109,109006,2006,0
109,109006,2007,1
109,109006,2008,0
109,109006,2009,1
109,109006,2010,0
113,113001,2000,0
113,113001,2001,1
113,113001,2002,1
113,113001,2003,1
113,113001,2004,1
113,113001,2005,1
113,113001,2006,1
113,113001,2007,1
113,113001,2008,1
113,113001,2009,1
113,113001,2010,1
105,105001,2000,0
105,105001,2001,0
105,105001,2002,0
105,105001,2003,0
105,105001,2004,0
105,105001,2005,0
105,105001,2006,0
105,105001,2007,1
105,105001,2008,0
105,105001,2009,0
105,105001,2010,0
105,105002,2000,0
105,105002,2001,1
105,105002,2002,1
105,105002,2003,0
105,105002,2004,1
105,105002,2005,1
105,105002,2006,1
105,105002,2007,1
105,105002,2008,1
105,105002,2009,1
105,105002,2010,1
104,104001,2000,0
104,104001,2001,1
104,104001,2002,0
104,104001,2003,0
104,104001,2004,0
104,104001,2005,0
104,104001,2006,0
104,104001,2007,0
104,104001,2008,0
104,104001,2009,0
104,104001,2010,0
104,104002,2000,0
104,104002,2001,1
104,104002,2002,1
104,104002,2003,0
104,104002,2004,1
104,104002,2005,0
104,104002,2006,1
104,104002,2007,1
104,104002,2008,1
104,104002,2009,1
104,104002,2010,1
104,104003,2000,0
104,104003,2001,1
104,104003,2002,1
104,104003,2003,0
104,104003,2004,1
104,104003,2005,1
104,104003,2006,1
104,104003,2007,1
104,104003,2008,1
104,104003,2009,1
104,104003,2010,0
101,101001,2000,0
101,101001,2001,0
101,101001,2002,0
101,101001,2003,0
101,101001,2004,0
101,101001,2005,0
101,101001,2006,1
101,101001,2007,1
101,101001,2008,0
101,101001,2009,0
101,101001,2010,0
101,101002,2000,0
101,101002,2001,1
101,101002,2002,0
101,101002,2003,0
101,101002,2004,0
101,101002,2005,0
101,101002,2006,1
101,101002,2007,1
101,101002,2008,0
101,101002,2009,0
101,101002,2010,1
101,101005,2000,0
101,101005,2001,0
101,101005,2002,1
101,101005,2003,1
101,101005,2004,1
101,101005,2005,1
101,101005,2006,1
101,101005,2007,1
101,101005,2008,0
101,101005,2009,1
101,101005,2010,1
101,101006,2000,0
101,101006,2001,0
