YEAR,ANNUAL RAINFALL,FLOOD
2000,2566.19,0
2001,2127.5,1
2002,1863.7,1
2003,2555.77,1
2004,1973.39,1
2005,2190.35,1
2006,2074.29,1
2007,2156.66,0
2008,2571.02,1
2009,2674.74,1
2010,2217.9,1
2000,2357.34,0
2001,2075.78,0
2002,1873.07,1
2003,2498.04,1
2004,1998.6,1
2005,2187.42,0
2006,2261.78,1
2007,2144.78,0
2008,2680.55,0
2009,2755.62,0
2010,2157.96,1
2000,2357.34,0
2001,2075.78,0
2002,1873.07,1
2003,2498.04,1
2004,1998.6,1
2005,2187.42,0
2006,2261.78,1
2007,2144.78,1
2008,2680.55,1
2009,2755.62,0
2010,2157.96,1
2000,2357.34,0
2001,2075.78,0
2002,1873.07,0
2003,2498.04,0
2004,1998.6,0
2005,2187.42,1
2006,2261.78,0
2007,2144.78,0
2008,2680.55,1
2009,2755.62,0
2010,2157.96,0
2000,2383.36,0
2001,2203.62,0
2002,1995.97,0
2003,2533.38,0
2004,2122.54,1
2005,2233.68,0
2006,2540.01,1
2007,2208.09,1
2008,2778.4,0
2009,2763.68,0
2010,2212.87,0
2000,3065.18,0
2001,2253.75,1
2002,2016.35,1
2003,2416.12,1
2004,1968.62,1
2005,2372.94,1
2006,2057.66,1
2007,2079.21,1
2008,2854.46,1
2009,2636.55,1
2010,2477.77,1
2000,2639.22,0
2001,2187.49,0
2002,1726.33,0
2003,2308.59,0
2004,1800.07,0
2005,2250.09,1
2006,1915.57,1
2007,2203.57,0
2008,2374.57,0
2009,2305.25,1
2010,2316.45,1
2000,2639.22,0
2001,2187.49,0
2002,1726.33,1
2003,2308.59,1
2004,1800.07,0
2005,2250.09,1
2006,1915.57,1
2007,2203.57,1
2008,2374.57,1
2009,2305.25,1
2010,2316.45,1
2000,2563.48,0
2001,2205.11,0
2002,1749.71,0
2003,2423.66,1
2004,1849.96,0
2005,2152.63,0
2006,2005.26,0
2007,2235.83,1
2008,2415.15,1
2009,2451.58,1
2010,2279.06,0
2000,2563.48,0
2001,2205.11,0
2002,1749.71,1
2003,2423.66,1
2004,1849.96,0
2005,2152.63,0
2006,2005.26,0
2007,2235.83,1
2008,2415.15,1
2009,2451.58,0
2010,2279.06,1
2000,2783.11,0
2001,2229.95,0
2002,1879.75,1
2003,2525.9,1
2004,1939.41,0
2005,2246.41,1
2006,1983.3,1
2007,2175.54,1
2008,2566.88,1
2009,2548.42,1
2010,2327.51,1
2000,2507.42,0
2001,2196.75,0
2002,1686.5,0
2003,2210.89,1
