year,state,forest_cover_percentage,deforestation_rate
2001,Johor,97.68122689950484,2.318773100495165
2002,Johor,95.81492923041509,1.8662976690897393
2003,Johor,95.10359746479831,0.7113317656167848
2004,Johor,92.9629581189494,2.140639345848908
2005,Johor,90.64240629667509,2.320551822274305
2006,Johor,88.72379328114005,1.9186130155350423
2007,Johor,86.66476587574581,2.0590274053942355
2008,Johor,85.69499629868925,0.9697695770565817
2009,Johor,83.2512941508827,2.4437021478065484
2010,Johor,81.77029900836261,1.4809951425200827
2011,Johor,78.74678587590277,3.0235131324598417
2012,Johor,76.69335621257818,2.053429663324588
2013,Johor,75.32400201937237,1.369354193205806
2014,Johor,72.53899455135667,2.785007468015705
2015,Johor,70.75253010094245,1.7864644504142067
2016,Johor,68.1418373672825,2.6106927336599557
2017,Johor,65.6163140176355,2.525523349647002
2018,Johor,63.724120252055336,1.8921937655801642
2019,Johor,61.89878549923227,1.8253347528230668
2020,Johor,60.50479077785072,1.3939947213815438
2021,Johor,59.144330193540625,1.3604605843101045
2022,Johor,58.107021504223155,1.037308689317468
2023,Johor,56.273211665275944,1.833809838947206
2001,Johor,82.74519548937083,2.300462729239309
2002,Johor,80.88805300590903,1.857142483461811
2003,Johor,80.18022636850407,0.7078266374049496
2004,Johor,78.04968388451911,2.1305424839849643
2005,Johor,75.73943818549452,2.31024569902458
2006,Johor,73.82642291202913,1.9130152734653947
2007,Johor,71.77278398731876,2.053638924710369
2008,Johor,70.80510702411999,0.9676769631987695
2009,Johor,68.36647946491864,2.438627559201354
2010,Johor,66.8876292516028,1.4788502133158252
2011,Johor,63.870237014677066,3.017392236925741
2012,Johor,61.83490846122256,2.035328553454513
2013,Johor,60.51917749812319,1.3157309630993703
2014,Johor,57.88792483331022,2.6312526648129593
2015,Johor,56.20630033717241,1.6816244961378197
2016,Johor,53.81083293878844,2.395467398383979
2017,Johor,51.47312168288006,2.3377112559083644
2018,Johor,49.735885973470886,1.7372357094091768
2019,Johor,48.11541811732763,1.6204678561432602
2020,Johor,46.90803223671648,1.207385880611148
2021,Johor,45.76075668917098,1.1472755475454948
2022,Johor,44.910841570820594,0.8499151183503926
2023,Johor,43.56570938301896,1.3451321878016307
2001,Johor,82.17553368192793,2.2964867629094656
2002,Johor,80.32016992024525,1.8553637616826708
2003,Johor,79.61312801303698,0.70704190720827
2004,Johor,77.48431193548471,2.1288160775522695
2005,Johor,75.1762111656644,2.3081007698203226
2006,Johor,73.2642421991279,1.9119689665364887
2007,Johor,71.21154495065355,2.0526972484743538
2008,Johor,70.24428651022635,0.967258440427207
2009,Johor,67.80654831191455,2.437738198311784
2010,Johor,66.3281166213703,1.4784316905442627
2011,Johor,63.311561429987684,3.0165551913826163
2012,Johor,61.27795928296587,2.033602147021818
2013,Johor,59.9648964025352,1.3130628804306599
2014,Johor,57.34180493176771,2.623091470767492
2015,Johor,55.66583049304599,1.6759744387217268
2016,Johor,53.28302340850176,2.3828070845442157
2017,Johor,50.95614142930758,2.3268819791941864
2018,Johor,49.22685765255809,1.7292837767494906
2019,Johor,47.61643434293233,1.6104233096257623
2020,Johor,46.41768049448466,1.198753848447673
2021,Johor,45.27982170929932,1.1378587851853401
2022,Johor,44.4379631543015,0.8418585549978158
2023,Johor,43.1103042922126,1.3276588620888996
2001,Johor,81.75449977373613,2.2921969045009507
2002,Johor,79.90169946402928,1.852800309706851
2003,Johor,79.19554691771057,0.7061525463186998
2004,Johor,77.06955586886636,2.1259910488442233
2005,Johor,74.76422781240764,2.305328056458722
2006,Johor,72.85351441418582,1.9107133982218014
2007,Johor,70.80191578798683,2.0515986261990022
2008,Johor,69.83512818567763,0.9667876023091995
2009,Johor,67.39822703290896,2.436901152768659
